регион;число смертей 2016;число смертей 2017;число смертей 2018;число смертей 2019; число смертей 2020;число смертей от ДТП 2016;число смертей от ДТП 2017;число смертей от ДТП 2018;число смертей от ДТП 2019;число смертей от ДТП 2020
Кировская обл;19309;18615;19037;18131;21134;2317;2420;2475;2176;2113
Нижегородская обл;50098;47709;48419;46839;55303;5010;4294;4358;3747;5530
Пензенская обл;19562;18848;19201;18359;22706;3130;2827;2496;2387;3179
Пермский край;36369;34861;35340;34394;40203;4364;4183;3781;3302;3658
Башкортостан;52330;50387;50440;49115;60211;5652;6046;5901;5206;6503
Марий Эл;9045;8501;8646;8177;9781;1239;1080;968;899;1086
Мордовия;11390;10868;10723;10484;13085;1697;1348;1458;1310;1819
Татарстан;44949;44058;44608;42848;54310;5124;4890;4149;3985;4399
Самарская обл;44428;43838;43114;42062;52856;3599;3244;3194;2482;4017
Саратовская обл;34840;33687;34053;33383;40506;4181;4042;3984;3605;5306
Удмуртия;19173;18135;18079;17870;21180;1879;1995;1826;1966;1946
Ульяновская область;18541;17513;17636;17080;20717;1502;2137;1746;1964;1904
Чувашия;16296;15591;15462;15196;18845;2428;1918;2010;1702;1771
